uid,time,name,target,info,state,version
Windows-Chrome-5311851386640607,1.66788E+12,mousedown,div.d-flex.justify-content-center,"{""which"":1,""pageX"":542,""pageY"":692,""target"":{}}",,B
Windows-Chrome-5311851386640607,1.66788E+12,click,div.d-flex.justify-content-center,"{""which"":1,""pageX"":542,""pageY"":692,""target"":{}}",,B
Windows-Chrome-5311851386640607,1.66788E+12,mousedown,button#create-event-button.btn.btn-primary.btn-md,"{""which"":1,""pageX"":624,""pageY"":696,""target"":{""jQuery310052748974972119281"":{""events"":{""click"":[{""type"":""click"",""origType"":""click"",""data"":null,""guid"":230,""namespace"":""""}]}}}}",,B
Windows-Chrome-5311851386640607,1.66788E+12,click,button#create-event-button.btn.btn-primary.btn-md,"{""which"":1,""pageX"":624,""pageY"":696,""target"":{""jQuery310052748974972119281"":{""events"":{""click"":[{""type"":""click"",""origType"":""click"",""data"":null,""guid"":230,""namespace"":""""}]}}}}",,B
Windows-Chrome-5311851386640607,1.66788E+12,mousedown,button#create-event-button.btn.btn-primary.btn-md,"{""which"":1,""pageX"":612,""pageY"":689,""target"":{""jQuery310052748974972119281"":{""events"":{""click"":[{""type"":""click"",""origType"":""click"",""data"":null,""guid"":230,""namespace"":""""}]}}}}",,B
Windows-Chrome-5311851386640607,1.66788E+12,click,button#create-event-button.btn.btn-primary.btn-md,"{""which"":1,""pageX"":612,""pageY"":689,""target"":{""jQuery310052748974972119281"":{""events"":{""click"":[{""type"":""click"",""origType"":""click"",""data"":null,""guid"":230,""namespace"":""""}]}}}}",,B
Windows-Chrome-5311851386640607,1.66788E+12,mousedown,button#create-event-button.btn.btn-primary.btn-md,"{""which"":1,""pageX"":612,""pageY"":689,""target"":{""jQuery310052748974972119281"":{""events"":{""click"":[{""type"":""click"",""origType"":""click"",""data"":null,""guid"":230,""namespace"":""""}]}}}}",,B
Windows-Chrome-5311851386640607,1.66788E+12,click,button#create-event-button.btn.btn-primary.btn-md,"{""which"":1,""pageX"":612,""pageY"":689,""target"":{""jQuery310052748974972119281"":{""events"":{""click"":[{""type"":""click"",""origType"":""click"",""data"":null,""guid"":230,""namespace"":""""}]}}}}",,B
Windows-Chrome-5311851386640607,1.66788E+12,mousedown,button#create-event-button.btn.btn-primary.btn-md,"{""which"":1,""pageX"":612,""pageY"":689,""target"":{""jQuery310052748974972119281"":{""events"":{""click"":[{""type"":""click"",""origType"":""click"",""data"":null,""guid"":230,""namespace"":""""}]}}}}",,B
Windows-Chrome-5311851386640607,1.66788E+12,click,button#create-event-button.btn.btn-primary.btn-md,"{""which"":1,""pageX"":612,""pageY"":689,""target"":{""jQuery310052748974972119281"":{""events"":{""click"":[{""type"":""click"",""origType"":""click"",""data"":null,""guid"":230,""namespace"":""""}]}}}}",,B
